trip_id,stoporder,stopid,onboard,offboard,arrtime,passenger,Weekday,Route,LastStop,lat,lng
2,1,1_76305,15,0,3/6/18 10:51,15,1,1,0,47.761829,-122.192337
2,2,1_76301,2,0,3/6/18 10:53,17,1,1,0,47.763996,-122.193596
2,3,1_76306,0,2,3/6/18 11:00,15,1,1,0,47.761864,-122.19738
2,11,1_76360,2,0,3/6/18 11:03,17,1,1,0,47.755978,-122.234688
2,13,1_76372,0,1,3/6/18 11:04,16,1,1,0,47.757122,-122.24147
2,14,1_76390,4,0,3/6/18 11:06,20,1,1,0,47.758408,-122.249435
2,15,1_76420,1,1,3/6/18 11:09,20,1,1,0,47.758385,-122.263237
2,16,1_76590,1,0,3/6/18 11:11,21,1,1,0,47.753216,-122.277527
2,21,1_76660,4,2,3/6/18 11:16,23,1,1,0,47.733151,-122.292519
2,23,1_38653,5,0,3/6/18 11:18,28,1,1,0,47.722763,-122.291687
2,24,1_76700,2,6,3/6/18 11:19,24,1,1,0,47.722694,-122.293411
2,25,1_76710,6,0,3/6/18 11:21,30,1,1,0,47.71896,-122.295525
2,28,1_38180,2,3,3/6/18 11:24,29,1,1,0,47.708515,-122.30143
2,30,1_38220,2,0,3/6/18 11:26,31,1,1,0,47.700081,-122.303604
2,31,1_38240,1,1,3/6/18 11:27,31,1,1,0,47.695282,-122.305283
2,32,1_38260,2,0,3/6/18 11:28,33,1,1,0,47.691254,-122.30217
2,33,1_23890,3,1,3/6/18 11:29,35,1,1,0,47.686165,-122.300934
2,34,1_23895,2,0,3/6/18 11:31,37,1,1,0,47.682823,-122.300858
2,35,1_23905,1,1,3/6/18 11:32,37,1,1,0,47.676212,-122.300743
2,36,1_23910,1,1,3/6/18 11:34,37,1,1,0,47.671875,-122.300743
2,37,1_23915,3,1,3/6/18 11:36,39,1,1,0,47.668293,-122.30072
3,5,1_75415,6,1,3/6/18 7:40,11,1,1,0,47.652329,-122.306099
3,7,1_75410,2,5,3/6/18 7:42,8,1,1,0,47.657257,-122.304573
3,9,1_25792,1,0,3/6/18 7:46,9,1,1,0,47.666599,-122.300514
3,10,1_25793,3,0,3/6/18 7:47,12,1,1,0,47.668735,-122.300529
3,12,1_25795,4,1,3/6/18 7:49,15,1,1,0,47.676003,-122.300545
3,13,1_25797,1,0,3/6/18 7:51,16,1,1,0,47.683147,-122.300667
3,14,1_25798,0,1,3/6/18 7:52,15,1,1,0,47.686481,-122.300743
3,15,1_38530,0,2,3/6/18 7:53,13,1,1,0,47.691326,-122.301987
3,16,1_38550,0,1,3/6/18 7:54,12,1,1,0,47.695759,-122.305252
3,18,1_38590,1,0,3/6/18 7:56,13,1,1,0,47.705028,-122.301521
3,19,1_38610,1,1,3/6/18 7:57,13,1,1,0,47.70858,-122.301208
3,20,1_38620,1,0,3/6/18 7:58,14,1,1,0,47.711124,-122.299957
3,21,1_38650,2,0,3/6/18 7:59,16,1,1,0,47.715919,-122.297112
3,22,1_76720,4,2,3/6/18 8:00,18,1,1,0,47.720383,-122.294479
3,24,1_76750,2,0,3/6/18 8:02,20,1,1,0,47.728012,-122.292137
3,25,1_76770,2,0,3/6/18 8:03,22,1,1,0,47.734463,-122.292343
3,27,1_76810,1,0,3/6/18 8:05,23,1,1,0,47.748497,-122.284599
3,28,1_76820,0,1,3/6/18 8:07,22,1,1,0,47.752117,-122.279831
3,29,1_76830,1,0,3/6/18 8:07,23,1,1,0,47.753723,-122.275841
3,30,1_76840,2,0,3/6/18 8:09,25,1,1,0,47.758305,-122.261803
3,31,1_76870,1,1,3/6/18 8:11,25,1,1,0,47.758194,-122.24881
3,34,1_76900,2,0,3/6/18 8:13,27,1,1,0,47.755611,-122.233551
3,40,1_76226,0,3,3/6/18 8:30,24,1,1,0,47.763798,-122.193581
3,43,1_76305,0,24,3/6/18 8:32,0,1,1,1,47.761829,-122.192337
4,1,1_76305,6,0,3/1/18 11:03,6,1,1,0,47.761829,-122.192337
4,2,1_76301,1,0,3/1/18 11:04,7,1,1,0,47.763996,-122.193596
4,4,1_76308,1,0,3/1/18 11:06,8,1,1,0,47.760639,-122.200783
4,6,1_76302,1,0,3/1/18 11:08,9,1,1,0,47.759319,-122.20108
4,7,1_76310,1,0,3/1/18 11:10,10,1,1,0,47.757919,-122.211365
4,8,1_76330,1,0,3/1/18 11:11,11,1,1,0,47.750988,-122.21228
4,10,1_76350,0,1,3/1/18 11:13,10,1,1,0,47.7547,-122.23056
4,13,1_76372,1,1,3/1/18 11:14,10,1,1,0,47.757122,-122.24147
4,15,1_76420,3,0,3/1/18 11:18,13,1,1,0,47.758385,-122.263237
4,17,1_76595,2,0,3/1/18 11:21,15,1,1,0,47.752197,-122.280037
4,20,1_76630,1,0,3/1/18 11:23,16,1,1,0,47.739384,-122.289886
4,21,1_76660,5,0,3/1/18 11:25,21,1,1,0,47.733151,-122.292519
4,24,1_76700,1,2,3/1/18 11:29,20,1,1,0,47.722694,-122.293411
4,25,1_76710,3,1,3/1/18 11:31,22,1,1,0,47.71896,-122.295525
4,27,1_38160,1,0,3/1/18 11:32,23,1,1,0,47.711735,-122.299805
4,28,1_38180,0,5,3/1/18 11:33,18,1,1,0,47.708515,-122.30143
4,29,1_38200,1,0,3/1/18 11:34,19,1,1,0,47.704357,-122.301712
4,32,1_38260,2,0,3/1/18 11:36,21,1,1,0,47.691254,-122.30217
4,33,1_23890,0,1,3/1/18 11:37,20,1,1,0,47.686165,-122.300934
4,35,1_23905,3,1,3/1/18 11:39,22,1,1,0,47.676212,-122.300743
4,37,1_23915,2,0,3/1/18 11:41,24,1,1,0,47.668293,-122.30072
4,38,1_23920,10,0,3/1/18 11:42,34,1,1,0,47.665997,-122.300705
4,39,1_23925,4,0,3/1/18 11:43,38,1,1,0,47.662911,-122.301003
4,40,1_75406,1,14,3/1/18 11:46,25,1,1,0,47.656876,-122.304909
4,41,1_75403,2,8,3/1/18 11:47,19,1,1,0,47.654365,-122.305214
4,42,1_75402,0,4,3/1/18 11:48,15,1,1,0,47.652336,-122.306412
4,43,1_75404,0,2,3/1/18 11:49,13,1,1,0,47.652149,-122.308495
4,44,1_75405,0,4,3/1/18 11:51,9,1,1,0,47.655102,-122.310921
5,1,1_9978,10,0,11/4/18 15:05,10,0,2,0,47.662743,-122.285202
5,2,1_29130,2,0,11/4/18 15:06,12,0,2,0,47.66119,-122.28923
5,3,1_25200,1,0,11/4/18 15:08,13,0,2,0,47.661282,-122.293724
5,4,1_25210,14,2,11/4/18 15:10,25,0,2,0,47.661049,-122.298904
5,5,1_75406,1,4,11/4/18 15:14,22,0,2,0,47.656876,-122.304909
5,6,1_75403,1,0,11/4/18 15:15,23,0,2,0,47.654365,-122.305214
5,7,1_75402,0,4,11/4/18 15:15,19,0,2,0,47.652336,-122.306412
5,8,1_75405,1,0,11/4/18 15:18,20,0,2,0,47.655102,-122.310921
5,9,1_9147,3,2,11/4/18 15:22,21,0,2,0,47.656498,-122.314308
5,10,1_9630,5,4,11/4/18 15:24,22,0,2,0,47.658573,-122.316551
5,11,1_9650,7,1,11/4/18 15:26,28,0,2,0,47.661781,-122.316467
5,12,1_9660,5,2,11/4/18 15:27,31,0,2,0,47.663368,-122.316254
5,13,1_23500,1,0,11/4/18 15:28,32,0,2,0,47.665173,-122.316238
5,14,1_23510,0,1,11/4/18 15:29,31,0,2,0,47.666714,-122.316208
5,16,1_23530,1,0,11/4/18 15:30,32,0,2,0,47.671329,-122.316101
5,17,1_23540,0,1,11/4/18 15:31,31,0,2,0,47.672653,-122.315552
5,18,1_23560,2,6,11/4/18 15:33,27,0,2,0,47.676052,-122.315567
5,19,1_23580,0,2,11/4/18 15:34,25,0,2,0,47.67976,-122.315536
5,22,1_82155,3,0,11/4/18 15:37,28,0,2,0,47.690628,-122.317505
5,23,1_82237,0,2,11/4/18 15:38,26,0,2,0,47.693874,-122.317696
5,24,1_82167,1,0,11/4/18 15:38,27,0,2,0,47.695969,-122.317497
5,26,1_82185,0,2,11/4/18 15:40,25,0,2,0,47.701431,-122.317589
5,29,1_82187,2,3,11/4/18 15:42,24,0,2,0,47.70327,-122.317657
5,30,1_82198,1,12,11/4/18 15:44,13,0,2,0,47.708633,-122.318367
5,31,1_23230,0,1,11/4/18 15:45,12,0,2,0,47.708195,-122.323364
5,32,1_35290,0,2,11/4/18 15:46,10,0,2,0,47.703217,-122.323692
5,33,1_35295,0,10,11/4/18 15:47,0,0,2,1,47.70203,-122.327248
6,1,1_2360,2,0,11/4/18 16:55,2,0,2,0,47.623188,-122.355309
6,3,1_14038,1,0,11/4/18 16:57,3,0,2,0,47.624668,-122.361153
6,4,1_14070,2,0,11/4/18 16:58,5,0,2,0,47.629013,-122.371414
6,5,1_14090,2,0,11/4/18 16:59,7,0,2,0,47.632252,-122.375481
6,6,1_14110,1,0,11/4/18 17:00,8,0,2,0,47.636963,-122.376099
6,11,1_18190,0,2,11/4/18 17:05,6,0,2,0,47.653629,-122.36985
6,14,1_18220,4,0,11/4/18 17:07,10,0,2,0,47.65068,-122.36055
6,17,1_18250,0,1,11/4/18 17:08,9,0,2,0,47.647102,-122.352066
6,18,1_26860,9,2,11/4/18 17:11,16,0,2,0,47.64986,-122.349678
6,19,1_26870,1,0,11/4/18 17:13,17,0,2,0,47.650032,-122.347054
6,22,1_26920,3,1,11/4/18 17:16,19,0,2,0,47.64941,-122.336235
6,28,1_29426,0,1,11/4/18 17:21,18,0,2,0,47.65443,-122.320747
7,10,1_9147,6,5,11/8/18 15:05,29,1,2,0,47.656498,-122.314308
7,11,1_9630,3,2,11/8/18 15:07,30,1,2,0,47.658573,-122.316551
7,12,1_9650,7,1,11/8/18 15:09,36,1,2,0,47.661781,-122.316467
7,13,1_9660,3,0,11/8/18 15:10,39,1,2,0,47.663368,-122.316254
7,14,1_23500,4,4,11/8/18 15:11,39,1,2,0,47.665173,-122.316238
7,15,1_23510,0,4,11/8/18 15:12,35,1,2,0,47.666714,-122.316208
7,16,1_23520,0,3,11/8/18 15:13,32,1,2,0,47.668758,-122.316185
7,17,1_23530,2,1,11/8/18 15:14,33,1,2,0,47.671329,-122.316101
7,18,1_23540,0,2,11/8/18 15:15,31,1,2,0,47.672653,-122.315552
7,19,1_23560,0,5,11/8/18 15:18,26,1,2,0,47.676052,-122.315567
7,20,1_23580,1,0,11/8/18 15:19,27,1,2,0,47.67976,-122.315536
7,21,1_23600,2,3,11/8/18 15:21,26,1,2,0,47.683124,-122.315651
7,24,1_82155,0,1,11/8/18 15:23,25,1,2,0,47.690628,-122.317505
7,27,1_82175,0,1,11/8/18 15:25,24,1,2,0,47.697811,-122.317497
7,30,1_82195,0,1,11/8/18 15:26,23,1,2,0,47.705109,-122.317696
7,31,1_82197,0,2,11/8/18 15:27,21,1,2,0,47.707638,-122.317741
7,32,1_82198,0,1,11/8/18 15:27,20,1,2,0,47.708633,-122.318367
7,33,1_23230,0,7,11/8/18 15:29,13,1,2,0,47.708195,-122.323364
7,34,1_23250,0,2,11/8/18 15:30,11,1,2,0,47.70591,-122.323296
7,35,1_35290,0,2,11/8/18 15:32,9,1,2,0,47.703217,-122.323692
7,36,1_35295,0,9,11/8/18 15:33,0,1,2,1,47.70203,-122.327248
8,1,1_35322,2,0,11/8/18 15:38,2,1,2,0,47.702896,-122.327316
8,2,1_23750,0,0,11/8/18 15:39,2,1,2,0,47.703541,-122.323051
8,3,1_23770,0,0,11/8/18 15:40,2,1,2,0,47.706131,-122.323105
8,4,1_81364,2,0,11/8/18 15:42,4,1,2,0,47.708519,-122.322723
8,5,1_82205,0,0,11/8/18 15:44,4,1,2,0,47.707417,-122.317947
8,6,1_82207,0,0,11/8/18 15:44,4,1,2,0,47.704701,-122.317886
8,7,1_82216,0,0,11/8/18 15:44,4,1,2,0,47.701923,-122.31781
8,8,1_82227,0,0,11/8/18 15:45,4,1,2,0,47.697392,-122.317688
8,9,1_82235,0,0,11/8/18 15:46,4,1,2,0,47.695476,-122.317696
8,10,1_82237,0,0,11/8/18 15:46,4,1,2,0,47.693874,-122.317696
8,11,1_82247,0,0,11/8/18 15:48,4,1,2,0,47.690132,-122.317711
8,12,1_23370,0,0,11/8/18 15:49,4,1,2,0,47.686485,-122.317657
8,13,1_23390,0,0,11/8/18 15:51,4,1,2,0,47.682865,-122.317589
8,14,1_23420,0,0,11/8/18 15:53,4,1,2,0,47.678501,-122.317505
8,15,1_16440,3,0,11/8/18 15:55,7,1,2,0,47.675457,-122.317467
8,16,1_16460,0,0,11/8/18 15:57,7,1,2,0,47.672356,-122.317467
8,17,1_16480,0,0,11/8/18 15:58,7,1,2,0,47.668396,-122.317467
8,18,1_9589,6,0,11/8/18 16:00,13,1,2,0,47.664597,-122.317505
8,19,1_9605,0,2,11/8/18 16:04,11,1,2,0,47.660953,-122.317818
9,1,1_9978,0,0,11/9/18 18:40,9,1,3,0,47.662743,-122.285202
9,4,1_25210,1,0,11/9/18 18:42,10,1,3,0,47.661049,-122.298904
9,5,1_75406,4,2,11/9/18 18:47,12,1,3,0,47.656876,-122.304909
9,6,1_75403,4,0,11/9/18 18:48,16,1,3,0,47.654365,-122.305214
9,7,1_75402,2,1,11/9/18 18:49,17,1,3,0,47.652336,-122.306412
9,8,1_75404,5,0,11/9/18 18:50,22,1,3,0,47.652149,-122.308495
9,10,1_9138,7,1,11/9/18 18:55,28,1,3,0,47.6563,-122.315338
9,11,1_26365,0,1,11/9/18 18:56,27,1,3,0,47.655964,-122.320801
9,16,1_26400,0,2,11/9/18 18:59,25,1,3,0,47.655716,-122.336098
9,18,1_26410,0,1,11/9/18 19:00,24,1,3,0,47.654091,-122.336388
9,19,1_26450,2,1,11/9/18 19:01,25,1,3,0,47.649273,-122.33667
9,20,1_26460,1,1,11/9/18 19:02,25,1,3,0,47.649281,-122.339073
9,21,1_26480,1,2,11/9/18 19:04,24,1,3,0,47.649571,-122.343147
9,22,1_26490,0,5,11/9/18 19:05,19,1,3,0,47.650215,-122.347343
9,23,1_26510,6,8,11/9/18 19:07,17,1,3,0,47.649677,-122.349869
9,27,1_18600,0,4,11/9/18 19:11,13,1,3,0,47.647102,-122.351685
9,30,1_18660,0,1,11/9/18 19:12,12,1,3,0,47.653969,-122.370102
9,32,1_13800,0,2,11/9/18 19:16,10,1,3,0,47.64817,-122.376877
9,33,1_13810,0,2,11/9/18 19:16,8,1,3,0,47.644825,-122.376328
9,35,1_13840,1,0,11/9/18 19:18,9,1,3,0,47.637482,-122.376305
9,36,1_13870,0,1,11/9/18 19:20,8,1,3,0,47.631969,-122.375397
9,38,1_13910,0,1,11/9/18 19:23,7,1,3,0,47.624535,-122.360718
9,39,1_2672,0,6,11/9/18 19:25,1,1,3,0,47.624306,-122.356812
9,40,1_2180,0,1,11/9/18 19:26,0,1,3,1,47.621834,-122.356819
10,1,1_2360,2,0,11/9/18 19:38,2,1,3,0,47.623188,-122.355309
10,2,1_2370,2,0,11/9/18 19:40,4,1,3,0,47.624649,-122.356552
10,3,1_14038,1,0,11/9/18 19:42,5,1,3,0,47.624668,-122.361153
10,4,1_14070,0,0,11/9/18 19:44,5,1,3,0,47.629013,-122.371414
10,6,1_14110,1,1,11/9/18 19:45,5,1,3,0,47.636963,-122.376099
10,10,1_18180,1,2,11/9/18 19:51,4,1,3,0,47.654976,-122.372124
10,14,1_18220,2,1,11/9/18 19:53,5,1,3,0,47.65068,-122.36055
10,15,1_18230,1,0,11/9/18 19:53,6,1,3,0,47.649792,-122.357918
10,21,1_26901,0,1,11/9/18 19:59,9,1,3,0,47.649143,-122.339073
10,22,1_26920,2,0,11/9/18 20:00,11,1,3,0,47.64941,-122.336235
10,24,1_26965,0,1,11/9/18 20:01,10,1,3,0,47.655579,-122.335701
10,25,1_26980,1,0,11/9/18 20:02,11,1,3,0,47.655514,-122.332314
10,27,1_27000,0,2,11/9/18 20:03,9,1,3,0,47.655479,-122.327538
10,28,1_29426,3,2,11/9/18 20:05,10,1,3,0,47.65443,-122.320747
10,29,1_26368,0,0,11/9/18 20:05,10,1,3,1,47.653511,-122.316795